song_id,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
33,0.825,0.123,0.649,65,93.82,0.0627,0.358,138360,-15.657,0.0396,0,3.14E-06,G
34,0.452,0.805,0.644,54,115.915,0.11,0.461,271187,-4.513,0.0975,1,1.00E-05,C
35,0.0245,0.948,0.347,43,158.202,0.154,0.222,320933,-6.098,0.101,0,6.60E-05,A
36,2.95E-05,0.795,0.388,32,80.939,0.0854,0.134,237037,-3.642,0.0346,1,0.858,G
37,0.392,0.328,0.859,53,140.007,0.0756,0.42,104124,-16.023,0.511,1,0,E
38,0.969,0.0112,0.243,29,84.809,0.0839,0.167,134453,-28.582,0.0381,1,0.842,A
39,0.132,0.413,0.859,67,115.035,0.334,0.697,194230,-7.399,0.182,0,0,C#
40,0.0365,0.468,0.657,36,98.023,0.0737,0.193,255107,-6.877,0.0278,0,0.921,C#
41,0.496,0.6,0.691,46,126.293,0.222,0.238,280049,-6.839,0.0338,0,0.241,A#
42,0.00573,0.746,0.571,51,148.052,0.0766,0.476,232025,-5.244,0.03,0,0,E
43,4.35E-05,0.958,0.503,49,184.09,0.12,0.399,198320,-3.522,0.104,1,0.0136,B
44,0.615,0.672,0.279,33,147.508,0.158,0.449,40286,-8.056,0.0466,0,0.934,C#
45,0.745,0.0975,0.611,34,88.835,0.101,0.399,179333,-11.57,0.0289,0,0.856,C
46,0.0587,0.763,0.699,36,103.104,0.0624,0.681,237006,-4.521,0.0815,0,0.495,F#
47,0.107,0.662,0.873,48,96.796,0.308,0.255,220533,-8.947,0.27,0,0,G
48,0.000834,0.654,0.586,33,75.387,0.289,0.166,268800,-6.037,0.114,0,0.609,C#
49,0.0352,0.787,0.743,67,192.117,0.0732,0.719,172680,-5.402,0.262,0,0,C#
50,0.00757,0.621,0.56,40,160.012,0.271,0.231,215760,-8.797,0.0336,0,0.0514,D
51,0.0601,0.84,0.686,58,105,0.164,0.704,203027,-5.142,0.159,0,5.38E-06,C#
52,0.0172,0.718,0.7,55,135.017,0.203,0.498,188444,-5.61,0.0318,1,0,A#
53,0.417,0.835,0.606,56,100.145,0.103,0.313,195791,-6.107,0.265,0,1.11E-06,F
54,0.994,0.245,0.403,12,144.889,0.165,0.407,161160,-14.745,0.0442,0,0.911,G#
55,0.242,0.833,0.647,48,70.562,0.105,0.636,215267,-4.496,0.309,0,0,A
56,0.532,0.631,0.647,42,134.002,0.0896,0.527,344893,-9.79,0.0392,1,0.723,C
57,0.00164,0.778,0.647,66,82.918,0.389,0.252,182640,-5.257,0.224,0,0,C#
58,0.042,0.946,0.555,40,129.982,0.152,0.789,253987,-4.721,0.0447,0,0.21,D#
59,0.804,0.271,0.573,40,130.623,0.0877,0.464,402013,-16.138,0.0489,0,0.8,F#
60,0.283,0.811,0.465,22,173.483,0.143,0.512,227890,-4.77,0.0317,0,0,C
61,0.948,0.142,0.14,31,48.658,0.128,0.0763,201187,-15.333,0.048,1,0.0525,F
62,0.00304,0.864,0.267,52,146.691,0.116,0.531,214987,-5.127,0.0481,0,0,C
63,0.00549,0.521,0.359,45,95.965,0.658,0.325,301707,-10.338,0.035,1,0.407,E
64,0.0928,0.609,0.918,80,128.008,0.139,0.304,231400,-5.64,0.0791,1,0,A#
65,0.714,0.363,0.529,54,137.945,0.0571,0.668,125960,-8.586,0.0445,1,0,A
66,0.0133,0.871,0.229,53,86.965,0.266,0.395,215653,-4.558,0.103,0,2.18E-06,F#
67,0.825,0.275,0.391,53,71.281,0.0946,0.243,167800,-8.259,0.0277,0,0,A#
68,0.0296,0.961,0.502,25,140.015,0.107,0.624,217880,-5.302,0.084,1,0.000381,D#
69,0.1,0.755,0.912,63,140.051,0.179,0.625,161200,-5.393,0.142,0,0,D
70,0.000658,0.847,0.546,30,94.997,0.0848,0.557,215957,-6.927,0.0524,0,0.867,G
71,0.195,0.745,0.689,22,132.201,0.069,0.731,237977,-1.89,0.0319,1,0,G#
72,0.00107,0.993,0.572,30,149.957,0.419,0.466,195200,-1.232,0.0778,0,0.11,C#
73,0.894,0.0706,0.0866,28,167.793,0.101,0.0373,151227,-26.115,0.0408,1,0.58,E
74,0.148,0.845,0.761,39,110.692,0.237,0.781,126000,-7.016,0.0776,0,0.00111,C#
75,0.571,0.503,0.718,30,90.979,0.0591,0.332,261253,-9.555,0.0427,1,0.124,F
76,0.595,0.71,0.7,44,99.966,0.113,0.521,230400,-8.5,0.0262,0,0.575,G#
77,0.616,0.678,0.4,12,144.013,0.0864,0.582,82720,-7.17,0.0445,1,0.946,C#
78,0.00607,0.996,0.645,45,145.002,0.128,0.169,379907,-4.339,0.0558,1,0.728,F
79,0.26,0.789,0.662,28,149.901,0.094,0.465,204800,-6.113,0.208,1,0,G
80,0.889,0.328,0.666,37,165.85,0.0837,0.392,115923,-16.075,0.357,1,0.869,F#
81,0.952,0.15,0.142,38,85.391,0.115,0.0336,522440,-19.231,0.0428,0,0.869,F
82,0.0224,0.868,0.81,53,81.018,0.145,0.884,219400,-3.521,0.156,0,0,C#
83,0.013,0.887,0.516,49,82.474,0.207,0.529,149576,-5.957,0.224,1,0,B
84,0.177,0.813,0.626,56,97.946,0.0986,0.461,215600,-4.548,0.0257,0,0.00065,G
85,0.318,0.751,0.597,48,130.004,0.159,0.361,202620,-4.357,0.0508,0,0,G#
86,5.54E-05,0.895,0.521,72,120.117,0.0985,0.237,322340,-5.242,0.0442,0,0.349,G
87,0.00356,0.96,0.439,12,182.13,0.321,0.915,227432,-2.58,0.0722,1,4.13E-06,F#
88,0.99,0.0482,0.065,0,59.502,0.124,0.0392,346853,-25.121,0.0445,1,0.939,C
89,0.952,0.0777,0.409,63,106.333,0.0979,0.088,502620,-23.493,0.0408,1,0.866,A
90,0.984,0.0218,0.065,23,61.11,0.102,0.0811,209307,-29.65,0.0487,1,0.912,D
91,0.155,0.459,0.801,31,89.312,0.136,0.96,191600,-13.254,0.0326,0,0.226,E
92,0.00584,0.848,0.531,33,114.021,0.0955,0.411,198763,-6.931,0.0645,0,1.63E-06,A#
93,0.726,0.251,0.456,47,74.907,0.108,0.216,379333,-11.608,0.0292,0,0.0104,D
94,0.99,0.218,0.344,26,111.676,0.0983,0.461,166547,-19.848,0.0363,0,0.852,G#
95,0.946,0.4,0.511,32,135.166,0.244,0.193,197998,-8.334,0.0579,0,0.0344,C
96,0.778,0.4,0.523,44,134.817,0.105,0.24,201520,-7.918,0.0268,0,0,C#
97,0.451,0.261,0.32,34,181.948,0.0816,0.366,113160,-12.344,0.0403,0,0,C
98,0.23,0.813,0.637,51,138.022,0.113,0.0794,194619,-7.06,0.0338,1,0.0281,E
99,0.694,0.483,0.482,40,138.058,0.0924,0.145,285707,-11.049,0.03,1,0.415,C#
100,0.00818,0.736,0.782,43,122.998,0.858,0.119,361000,-9.004,0.0511,1,0.849,F
101,0.377,0.507,0.384,39,151.681,0.388,0.566,165120,-9.344,0.0343,1,0.0171,F
102,0.907,0.12,0.183,26,76.907,0.229,0.033,635773,-21.257,0.0392,1,0.755,E
103,0.129,0.836,0.753,57,104.983,0.409,0.278,228101,-7.572,0.204,1,1.32E-06,F#
104,0.0867,0.578,0.853,47,91.946,0.112,0.488,224293,-8.459,0.298,0,0,B
105,0.00267,0.978,0.458,65,103.823,0.119,0.332,221000,-2.394,0.189,0,2.81E-06,C#
106,0.00818,0.61,0.579,48,127.022,0.112,0.381,226137,-7.867,0.0294,0,0.41,E
107,0.0125,0.916,0.594,28,169.996,0.309,0.595,197747,-3.39,0.0795,0,0,C
108,0.948,0.241,0.57,45,115.352,0.111,0.543,181893,-12.138,0.0473,0,0.0224,E
109,0.0633,0.773,0.672,27,95.014,0.114,0.0653,293053,-5.99,0.0404,1,0.809,G
110,0.000151,0.924,0.513,53,145.01,0.303,0.52,237453,-4.574,0.0503,0,0.0203,A
111,0.994,0.0125,0.338,28,168.218,0.065,0.047,130320,-31.286,0.062,0,0.912,G
112,0.964,0.00536,0.304,0,82.853,0.0561,0.117,68987,-34.042,0.0568,1,0.0151,F#
113,0.00175,0.805,0.607,61,139.894,0.231,0.232,202667,-5.579,0.0608,1,0,B
114,0.2,0.777,0.681,40,83.989,0.343,0.522,193571,-3.663,0.252,0,0,C#
115,3.48E-05,0.83,0.543,41,122.529,0.346,0.532,237213,-6.413,0.0316,0,0.893,C
116,0.00864,0.935,0.509,57,148.062,0.255,0.501,238200,-3.633,0.0493,0,1.17E-06,F#
117,0.0224,0.817,0.624,43,96.021,0.0998,0.605,303067,-4.611,0.0257,0,0,B
118,0.0165,0.873,0.543,47,150.891,0.15,0.786,208973,-5.159,0.0803,1,9.45E-05,A#
119,0.0395,0.645,0.565,40,142.223,0.262,0.216,259160,-6.173,0.0304,0,0,G
120,0.204,0.608,0.403,36,120.693,0.145,0.664,195826,-7.315,0.064,1,0,E
121,0.202,0.832,0.428,42,124.591,0.495,0.436,215320,-4.288,0.0937,0,0.631,D
122,4.75E-05,0.973,0.517,16,132.049,0.271,0.692,252947,-5.058,0.0674,1,1.98E-05,B
123,0.63,0.491,0.377,41,147.689,0.294,0.368,463307,-9.348,0.0343,1,0.00388,F
124,0.576,0.698,0.382,27,71.792,0.188,0.531,143360,-6.842,0.0422,0,0.186,C
125,0.000399,0.926,0.479,58,175.994,0.179,0.673,173327,-4.226,0.0893,1,0.0022,D#
126,0.994,0.156,0.31,54,87.922,0.0894,0.378,244093,-22.46,0.0411,1,0.879,A
127,0.781,0.592,0.654,35,127.176,0.087,0.405,217227,-8.148,0.0613,1,0.124,A
128,0.0898,0.657,0.505,69,135.995,0.0606,0.666,254093,-7.254,0.288,0,0,A
129,0.303,0.403,0.507,47,144.086,0.109,0.204,206910,-9.535,0.136,1,0.254,F#
130,0.754,0.249,0.328,60,81.257,0.134,0.162,165667,-11.777,0.0272,0,5.77E-06,D
131,0.453,0.795,0.505,62,89.669,0.0998,0.734,265480,-6.283,0.434,0,0,D
132,0.295,0.919,0.762,56,109.971,0.126,0.603,213013,-3.378,0.069,1,0,A
133,0.0413,0.86,0.643,19,133.926,0.0574,0.79,209920,-4.4,0.0562,0,0.000512,G
134,0.405,0.376,0.527,35,134.864,0.135,0.342,350840,-9.901,0.0299,0,0.000253,G
135,0.535,0.653,0.718,40,125.013,0.172,0.473,367173,-9.021,0.0305,0,0.879,C#
136,0.144,0.8,0.45,41,72.918,0.0819,0.916,197564,-3.772,0.123,0,0,F#
137,0.000756,0.944,0.406,33,140.074,0.349,0.638,210827,-5.142,0.0734,1,0.00887,D
138,0.00614,0.914,0.39,23,176.058,0.392,0.223,257413,-1.822,0.132,1,0.00353,E
139,0.0958,0.641,0.314,57,142.495,0.35,0.0874,285397,-7.036,0.0506,1,1.23E-06,D
140,0.000913,0.332,0.606,48,126.625,0.151,0.0796,250293,-12.715,0.0324,0,0.397,F#
141,0.153,0.73,0.964,42,125.028,0.101,0.259,188170,-6.778,0.206,0,0.809,F#
142,0.0414,0.66,0.524,50,76.493,0.148,0.473,207360,-5.892,0.398,0,0,C
143,0.00821,0.704,0.551,45,97.075,0.245,0.541,200013,-5.426,0.0444,0,2.25E-06,G#
144,0.00624,0.822,0.686,50,89.991,0.16,0.776,251000,-2.984,0.0392,0,2.91E-05,B
145,0.109,0.79,0.312,41,177.836,0.46,0.813,149907,-10.378,0.04,0,0.885,C
146,0.587,0.47,0.803,62,121.226,0.0723,0.887,290173,-7.232,0.0387,1,0.091,F#
147,0.165,0.736,0.716,54,98.005,0.0746,0.945,186107,-3.761,0.0363,0,0.000171,G
148,0.0568,0.965,0.475,0,171.882,0.137,0.868,219880,-2.877,0.0462,0,0,C#
149,0.681,0.807,0.702,38,95.548,0.516,0.864,268080,-5.865,0.135,1,0,D
150,0.804,0.149,0.592,19,95.992,0.157,0.831,154933,-13.676,0.0406,1,0.844,A
151,0.232,0.404,0.569,23,119.673,0.137,0.303,205867,-9.849,0.0415,1,0.528,A#
152,0.387,0.858,0.655,39,141.944,0.391,0.684,243410,-5.047,0.387,0,0,C#
153,0.000246,0.926,0.345,63,154.892,0.14,0.214,227107,-4.444,0.159,1,0.000487,D#
154,8.45E-06,0.951,0.424,54,156.1,0.312,0.627,197293,-3.291,0.0873,0,1.12E-05,E
155,0.0473,0.616,0.92,53,97.749,0.173,0.62,191160,-4.522,0.209,0,0,G
156,1.87E-05,0.986,0.215,37,172.96,0.106,0.0381,249920,-5.263,0.215,1,0.934,F
157,0.00104,0.814,0.667,32,133.985,0.302,0.924,164776,-7.081,0.0499,0,0.825,C#
158,0.678,0.484,0.538,33,112.496,0.91,0.872,297480,-17.204,0.0424,1,9.03E-05,F
159,0.612,0.571,0.722,30,106.954,0.132,0.67,218960,-6.065,0.041,0,0,F
160,0.152,0.63,0.61,36,167.999,0.112,0.655,541027,-7.303,0.0332,0,0.878,C
161,0.0536,0.817,0.736,58,125.423,0.181,0.962,311853,-5.982,0.0347,1,0,A
162,0.00145,0.914,0.459,59,107.567,0.29,0.668,192973,-6.686,0.117,0,1.15E-05,B
163,0.371,0.662,0.467,39,93.877,0.187,0.531,250507,-9.753,0.0378,0,0.000541,D
164,0.825,0.656,0.676,55,94.383,0.118,0.283,226299,-7.653,0.211,0,0.0119,G#
165,0.0328,0.522,0.794,68,86.318,0.156,0.567,174133,-7.829,0.159,0,0,G#
166,0.102,0.557,0.701,47,109.995,0.164,0.586,291733,-8.816,0.0291,0,0.865,A
167,0.00271,0.892,0.457,28,180.068,0.102,0.217,248105,-5.628,0.0511,1,0.852,A
168,0.00212,0.982,0.635,27,120.068,0.0477,0.39,208453,-4.214,0.134,0,0,D
169,0.474,0.73,0.514,55,167.655,0.511,0.699,246773,-8.491,0.387,1,0,E
170,0.914,0.293,0.56,29,180.095,0.539,0.886,190747,-10.268,0.0527,0,0,G
171,0.147,0.633,0.616,71,89.644,0.288,0.58,243160,-5.076,0.0383,0,1.48E-06,A#
172,0.235,0.409,0.488,36,130.991,0.112,0.499,350267,-14.739,0.0881,0,0.0162,A#
173,0.064,0.579,0.884,65,144.973,0.182,0.313,176630,-6.847,0.299,0,2.38E-06,D
174,0.0166,0.865,0.63,65,181.871,0.401,0.366,213960,-5.015,0.123,1,2.57E-06,A#
175,0.374,0.247,0.803,42,76.639,0.119,0.694,50385,-9.447,0.0907,0,0.846,C
176,0.0214,0.366,0.794,74,122.993,0.0964,0.278,159522,-10.051,0.135,0,0,G
177,0.0448,0.476,0.613,60,84.938,0.0608,0.644,295000,-9.648,0.0321,0,0,C
178,0.556,0.566,0.831,38,115.972,0.161,0.569,182880,-4.523,0.0322,0,0,B
179,0.743,0.408,0.666,44,119.955,0.11,0.324,228999,-7.756,0.0285,0,0,B
180,0.203,0.399,0.491,56,114.641,0.204,0.299,183679,-10.057,0.127,1,0,A
181,0.0913,0.823,0.663,21,119.01,0.308,0.754,279507,-3.923,0.0288,1,0,C#
182,0.865,0.175,0.675,52,93.786,0.106,0.403,211053,-14.548,0.031,0,0.0092,A#
183,0.769,0.441,0.596,33,142.054,0.361,0.676,280907,-10.991,0.0496,0,0.351,A#
184,0.000737,0.979,0.315,41,150.018,0.0757,0.139,271000,-4.101,0.451,1,0.0193,C
185,0.955,0.113,0.27,29,128.254,0.128,0.0504,1231333,-19.984,0.0379,1,0.92,E
186,0.0358,0.69,0.391,38,182.97,0.0596,0.79,182427,-8.18,0.295,0,0.0215,A
187,0.645,0.365,0.582,46,93.855,0.147,0.312,157973,-11.04,0.0388,0,1.03E-06,A
188,0.513,0.473,0.419,62,138.013,0.133,0.324,233960,-8.192,0.0288,1,3.52E-06,G
189,0.763,0.709,0.707,74,89.094,0.274,0.501,275227,-3.979,0.34,1,0,B
190,0.163,0.667,0.628,53,160.01,0.127,0.584,167680,-6.282,0.0385,0,0,F#
191,0.0191,0.842,0.523,58,149.974,0.139,0.443,287667,-5.529,0.165,1,0,C#
192,0.981,0.257,0.32,37,93.834,0.103,0.252,216000,-18.53,0.0367,1,0.0142,C
193,0.00482,0.739,0.746,42,112.824,0.0731,0.666,246200,-12.912,0.0527,0,0.883,G
194,0.035,0.872,0.685,54,85.85,0.228,0.546,250187,-5.828,0.294,0,0,C#
195,0.982,0.0723,0.553,37,135.737,0.117,0.27,190480,-16.436,0.0424,0,0.00173,G
196,0.00265,0.769,0.703,50,113.984,0.0387,0.655,331800,-7.319,0.0752,0,0.00141,C
197,0.0277,0.596,0.634,33,79.576,0.784,0.565,416800,-9.687,0.0466,1,0.0178,C#
198,0.00201,0.859,0.394,49,136.075,0.1,0.511,208133,-3.851,0.0409,0,0.233,A
199,0.141,0.683,0.761,63,101.787,0.342,0.671,286693,-10.889,0.164,0,0,D
200,0.0253,0.832,0.698,48,90.479,0.0812,0.951,226133,-6.473,0.0343,1,0.947,F
201,0.408,0.369,0.293,58,117.652,0.118,0.221,153987,-17.075,0.0425,0,0.62,F
202,0.0146,0.655,0.708,49,74.945,0.287,0.383,291173,-8.142,0.362,1,2.74E-06,D
203,0.0624,0.449,0.789,51,91.777,0.131,0.301,288267,-13.07,0.395,1,0,B
204,0.154,0.298,0.755,52,99.979,0.101,0.0372,123054,-15.032,0.0915,0,0.329,C#
205,0.296,0.851,0.545,47,170.419,0.0821,0.586,195640,-6.095,0.429,1,0,F
206,0.81,0.462,0.651,43,80.289,0.136,0.567,256493,-9.011,0.0336,0,3.30E-06,D
207,0.0396,0.718,0.863,52,115.017,0.255,0.717,90520,-6.922,0.0619,1,0,F
208,0.0446,0.782,0.224,58,81.794,0.0822,0.267,254400,-7.065,0.04,0,0.00355,F#
209,0.99,0.0769,0.396,22,70.93,0.0738,0.0635,228027,-22.829,0.053,1,0.66,A
210,0.00591,0.939,0.398,72,92.027,0.357,0.235,342821,-2.865,0.0648,1,0.000881,A
211,0.174,0.691,0.63,44,76.945,0.0498,0.655,220707,-7.563,0.0295,0,3.10E-06,G
212,0.05,0.745,0.294,63,134.364,0.676,0.347,210107,-9.138,0.0461,0,0.125,F
213,0.0721,0.913,0.647,35,154.978,0.347,0.361,200094,-5.233,0.101,1,3.19E-05,G
214,0.0362,0.557,0.889,50,97.176,0.332,0.805,190600,-8.148,0.352,0,0,E
215,0.233,0.68,0.631,40,107.72,0.175,0.486,181360,-5.181,0.0252,0,0,D
216,0.988,0.127,0.465,30,167.924,0.112,0.297,207626,-18.6,0.0373,0,0.933,A#
217,1.74E-05,0.793,0.422,29,174.163,0.396,0.251,306103,-6.742,0.0316,1,0.789,C
218,0.0736,0.487,0.389,58,126.747,0.333,0.366,223373,-12.226,0.0332,0,0.000751,D
219,0.0167,0.904,0.647,47,118.948,0.0587,0.551,249107,-5.193,0.0434,0,3.36E-06,G
220,0.341,0.584,0.514,35,172.001,0.485,0.197,348800,-10.067,0.0271,0,0.946,A
221,0.0863,0.606,0.749,53,124.527,0.13,0.474,214357,-5.597,0.346,1,0,F
222,0.0445,0.919,0.473,12,156.935,0.15,0.666,182675,-0.479,0.0467,0,0,F
223,0.856,0.55,0.697,62,84.802,0.0907,0.844,122893,-11.496,0.18,0,3.44E-05,D
224,0.00431,0.678,0.498,56,172.191,0.142,0.205,225867,-7.407,0.141,1,0.000951,A
225,0.00715,0.883,0.55,54,150.004,0.0924,0.417,192600,-5.964,0.0937,0,0,D
226,0.027,0.806,0.817,62,110.086,0.119,0.805,224640,-4.606,0.0623,0,9.00E-06,F#
227,0.000912,0.934,0.406,14,102.474,0.0821,0.339,187480,-3.252,0.0898,1,0,D
228,0.722,0.268,0.714,42,116.339,0.246,0.332,300933,-7.546,0.0329,0,5.05E-06,B
229,0.26,0.569,0.625,62,149.987,0.127,0.361,201013,-5.954,0.0271,0,0,C
230,0.00456,0.913,0.663,57,108.01,0.481,0.897,254620,-5.014,0.0544,0,0.00123,B
231,0.318,0.446,0.622,53,68.85,0.0904,0.168,215045,-9.647,0.22,1,0.0135,A
232,0.00618,0.828,0.36,40,84.789,0.168,0.216,263360,-5.696,0.0406,1,3.37E-05,A
233,0.0395,0.845,0.682,43,126.041,0.0973,0.133,333000,-5.268,0.0577,0,0.0167,G
234,0.0628,0.662,0.879,57,132.547,0.243,0.773,187158,-4.555,0.298,0,0,D
235,0.0586,0.838,0.286,27,149.136,0.0543,0.496,273721,-3.326,0.145,1,6.86E-06,B
236,0.0189,0.83,0.733,43,169.955,0.189,0.575,186353,-4.544,0.307,1,0,C#
237,0.789,0.434,0.388,50,206.313,0.728,0.873,153533,-11.997,0.0354,0,0.954,G
238,0.000272,0.951,0.548,38,131.995,0.302,0.367,367107,-5.464,0.0415,1,0.832,A#
239,0.0258,0.956,0.673,41,122.276,0.2,0.818,264453,-6.671,0.0465,1,7.98E-05,D
240,3.93E-05,0.964,0.442,39,115.08,0.0772,0.194,213733,-4.875,0.0877,0,0,F#
241,0.0906,0.507,0.848,67,140.056,0.0945,0.227,156081,-9.687,0.542,0,2.40E-06,C#
242,0.00401,0.781,0.415,54,142.966,0.126,0.261,215400,-6.947,0.0357,0,0,C#
243,0.0771,0.478,0.708,51,90.996,0.132,0.154,216160,-8.467,0.0415,0,0,G#
244,0.0105,0.765,0.714,61,74.986,0.566,0.52,139707,-6.215,0.354,1,0,E
245,0.44,0.555,0.785,52,90.002,0.165,0.409,214905,-6.804,0.0406,0,1.35E-06,A
246,0.824,0.393,0.348,10,142.879,0.11,0.225,185933,-9.24,0.0298,0,0.923,C
247,0.00204,0.962,0.625,28,149.901,0.137,0.279,185600,-1.511,0.284,0,0.185,C#
248,0.096,0.87,0.426,49,169.946,0.112,0.414,293468,-3.821,0.0621,1,0,A
249,0.51,0.424,0.72,47,110.811,0.0712,0.582,228160,-17.83,0.0357,0,2.58E-05,E
250,0.0294,0.56,0.502,34,141.461,0.241,0.451,293280,-8.308,0.0404,0,2.00E-06,G
251,0.36,0.686,0.632,49,149.985,0.16,0.595,170000,-5.198,0.0372,0,0,E
252,0.993,0.0296,0.278,30,69.314,0.0898,0.0611,564040,-23.76,0.0401,0,0.896,G#
253,0.161,0.144,0.332,10,70.002,0.1,0.23,191947,-17.748,0.033,1,0.944,C
254,0.328,0.568,0.516,29,77.573,0.118,0.347,317107,-6.041,0.035,0,7.35E-05,B
255,3.15E-05,0.982,0.4,63,155.046,0.133,0.384,198040,-2.147,0.123,0,8.20E-05,G#
256,0.938,0.128,0.336,0,154.553,0.186,0.231,115680,-24.775,0.0556,0,0.323,F
257,0.0195,0.606,0.741,58,108.126,0.337,0.455,182582,-7.833,0.253,0,0.000333,G#
258,0.3,0.888,0.73,38,101.96,0.0861,0.766,298181,-7.136,0.0485,1,0.841,E
259,0.0029,0.682,0.555,56,105.987,0.0662,0.383,266960,-5.711,0.0269,0,0,C
260,0.318,0.825,0.761,20,119.964,0.109,0.775,173427,-6.846,0.064,0,0.485,G
261,0.0706,0.755,0.534,58,144.014,0.0866,0.466,199320,-5.005,0.0359,0,0,D
262,0.144,0.6,0.755,65,155.982,0.117,0.652,211240,-6.431,0.309,1,0,F
263,0.399,0.786,0.426,28,143.225,0.974,0.812,280640,-9.923,0.0486,0,0.857,C
264,0.00342,0.969,0.261,48,151.921,0.103,0.199,394307,-4.185,0.168,1,0.00135,F
265,0.091,0.741,0.64,43,95.003,0.102,0.423,322867,-6.932,0.0458,1,0.549,E
266,0.017,0.713,0.555,28,200.071,0.0381,0.754,214400,-6.901,0.0704,1,0.00115,E
267,0.00804,0.896,0.67,38,101.61,0.149,0.505,184000,-9.509,0.0922,0,0,A
268,0.134,0.338,0.557,72,140.935,0.14,0.689,85124,-9.892,0.0257,0,0.00184,F
269,0.285,0.705,0.577,53,127.591,0.107,0.387,234667,-6.565,0.0538,0,1.20E-06,C
270,0.322,0.844,0.378,17,114.251,0.327,0.544,165360,-3.735,0.0512,1,0,A
271,0.0633,0.58,0.59,51,150,0.105,0.355,194000,-7.162,0.324,1,0,E
272,0.737,0.0105,0.212,39,81.784,0.0687,0.142,156240,-39.909,0.044,1,0.376,A
273,1.48E-05,0.931,0.423,40,145.003,0.217,0.4,205147,-5.681,0.0503,1,0.241,F
274,0.955,0.123,0.122,30,90.722,0.12,0.0992,193827,-18.555,0.0544,1,0.885,D
275,0.855,0.112,0.586,25,112.389,0.138,0.387,207600,-12.739,0.0394,0,0.000613,F
276,0.111,0.704,0.488,36,135.155,0.111,0.491,540547,-10.095,0.0432,1,0.913,G#
