Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17
2009-09-14,2,4.3,17.8,0.0,,,SW,24.0,NNW,6.0,29.0,1019.9,,17.1,No,No
2009-10-01,2,8.9,21.1,0.0,,,SSW,28.0,S,9.0,61.0,1008.8,,19.4,No,No
2009-10-03,2,8.5,13.5,3.2,,,SSE,31.0,ESE,11.0,75.0,1015.1,7.0,13.0,Yes,Yes
2009-10-12,2,5.8,23.3,0.0,,,W,59.0,NE,20.0,64.0,999.4,1.0,19.0,No,Yes
2009-10-29,2,14.5,26.9,0.0,,,NNW,31.0,N,20.0,50.0,1020.6,,25.8,No,No
2009-11-03,2,18.7,24.3,0.0,,,W,46.0,W,20.0,39.0,1011.9,,21.9,No,No
2009-11-17,2,12.1,30.5,0.0,,,SSE,30.0,SSE,9.0,18.0,1005.9,,28.6,No,No
2009-11-22,2,18.3,28.3,25.8,,,NNW,61.0,W,46.0,67.0,1003.5,8.0,25.6,Yes,No
2009-11-25,2,17.2,32.9,0.0,,,SE,24.0,S,7.0,36.0,1016.0,,32.0,No,No
2009-12-12,2,9.0,26.5,0.0,,,WSW,39.0,SW,15.0,31.0,1016.1,4.0,26.0,No,No
2009-12-18,2,12.2,26.4,3.0,,,W,41.0,W,17.0,19.0,1014.1,,24.9,Yes,No
2009-12-26,2,17.1,31.3,0.0,,,N,33.0,NW,7.0,34.0,1011.9,,29.4,No,No
2009-12-29,2,18.7,35.9,0.0,,,SSE,31.0,NE,9.0,24.0,1017.0,,34.1,No,No
2010-01-05,2,15.0,35.8,0.0,,,W,46.0,NW,17.0,13.0,1011.5,,34.9,No,No
2010-01-06,2,16.3,33.8,0.0,,,WNW,41.0,W,26.0,7.0,1011.5,,33.4,No,No
2010-01-11,2,21.0,42.2,0.0,,,NE,30.0,NNW,9.0,15.0,1009.1,,40.9,No,No
2010-01-21,2,15.4,37.3,0.0,,,W,56.0,WNW,22.0,18.0,1008.1,,34.3,No,No
2010-02-04,2,23.5,32.0,0.0,,,NNW,44.0,,,44.0,1006.2,,31.1,No,Yes
2010-02-08,2,23.0,34.0,0.0,,,NNW,37.0,ESE,11.0,32.0,1017.8,7.0,33.8,No,No
2010-03-02,2,11.2,28.5,,,,SSE,28.0,ESE,15.0,23.0,1015.4,,26.5,,No
2010-03-13,2,11.5,25.7,0.0,,,SE,24.0,E,9.0,44.0,1031.4,,23.9,No,No
2010-03-17,2,13.3,29.6,0.0,,,SSW,19.0,W,4.0,35.0,1023.3,,29.5,No,No
2010-03-31,2,13.4,26.1,0.0,,,SSE,28.0,NE,9.0,42.0,1018.1,1.0,25.1,No,No
2010-04-03,2,12.4,24.8,0.0,,,NE,26.0,NE,11.0,41.0,1018.4,5.0,24.7,No,No
2010-04-11,2,14.2,18.7,7.0,,,WNW,57.0,W,35.0,43.0,1010.2,2.0,17.8,Yes,No
2010-04-25,2,10.8,18.5,17.0,,,W,37.0,W,20.0,40.0,1017.6,,18.4,Yes,No
2010-05-06,2,7.1,15.3,0.0,,,W,35.0,W,9.0,68.0,1021.6,8.0,15.3,No,No
2010-05-11,2,3.0,15.6,0.0,,,WSW,43.0,WSW,20.0,47.0,1014.8,,13.2,No,No
2010-05-22,2,1.1,17.1,0.0,,,ESE,22.0,SSE,7.0,45.0,1020.5,3.0,16.1,No,No
2010-05-26,2,8.4,19.0,13.4,,,SSE,30.0,SSE,6.0,50.0,1010.1,,18.9,Yes,No
2010-05-27,2,5.7,16.6,0.2,,,SSE,11.0,SSE,9.0,59.0,1018.0,8.0,16.5,No,No
2010-06-07,2,0.4,14.0,0.0,,,S,17.0,S,9.0,50.0,1024.3,2.0,13.3,No,No
2010-06-10,2,4.9,12.9,2.4,,,W,44.0,WSW,19.0,57.0,1021.1,6.0,12.5,Yes,No
2010-06-13,2,-1.0,13.1,0.0,,,ESE,11.0,SSE,9.0,47.0,1030.7,,12.0,No,No
2010-06-22,2,3.0,14.8,0.0,,,SE,15.0,SE,7.0,61.0,1035.2,,14.7,No,No
2010-06-23,2,3.5,16.5,0.0,,,E,20.0,E,7.0,52.0,1032.9,8.0,15.5,No,No
2010-06-26,2,6.2,12.1,10.2,,,WNW,35.0,N,4.0,71.0,1020.5,8.0,11.1,Yes,No
2010-06-27,2,0.6,11.9,0.2,,,W,22.0,NW,11.0,54.0,1021.8,2.0,11.5,No,No
2010-07-19,2,5.0,13.5,1.6,,,NW,20.0,S,4.0,61.0,1017.8,8.0,13.4,Yes,No
2010-07-21,2,0.6,12.9,0.0,,,W,17.0,SSW,7.0,58.0,1027.1,,12.5,No,No
2010-07-27,2,-1.2,15.0,0.2,,,SSE,15.0,ESE,7.0,52.0,1031.5,,14.7,No,No
2010-08-11,2,7.2,10.4,8.2,,,NNE,33.0,N,13.0,85.0,1000.1,8.0,10.0,Yes,Yes
2010-08-19,2,5.0,15.1,15.4,,,NW,57.0,NW,30.0,56.0,1007.8,6.0,14.5,Yes,Yes
2010-08-21,2,6.3,12.9,0.0,,,WNW,39.0,W,19.0,68.0,1017.8,3.0,12.0,No,No
2010-08-31,2,2.9,14.2,0.0,,,N,20.0,NE,13.0,61.0,1020.4,6.0,13.4,No,No
2010-10-13,2,14.7,18.0,11.4,,,WSW,30.0,E,11.0,94.0,1013.7,8.0,16.7,Yes,Yes
2010-10-17,2,6.3,15.4,0.0,,,WNW,35.0,NW,17.0,56.0,1016.3,8.0,14.7,No,No
2010-10-18,2,9.2,17.4,0.0,,,W,39.0,WNW,20.0,50.0,1019.4,1.0,17.1,No,No
2010-11-01,2,10.2,18.9,1.2,,,W,35.0,W,19.0,52.0,1013.8,1.0,17.5,Yes,No
2010-11-21,2,12.7,29.7,0.0,,,N,22.0,W,9.0,29.0,1019.1,,29.5,No,No
2010-11-22,2,14.7,29.9,0.0,,,ENE,26.0,NNE,7.0,36.0,1019.5,,29.2,No,No
2010-11-23,2,14.8,29.4,0.0,,,N,31.0,NNE,17.0,34.0,1020.5,2.0,28.4,No,No
2010-12-01,2,16.7,23.9,12.0,,,SE,24.0,SE,9.0,73.0,1013.3,8.0,20.6,Yes,No
2010-12-11,2,11.2,24.3,0.0,,,WNW,43.0,WNW,24.0,35.0,1004.5,1.0,22.8,No,No
2010-12-30,2,14.8,34.0,0.0,,,SW,41.0,WSW,24.0,25.0,1013.3,,33.5,No,No
2011-01-03,2,13.6,29.4,0.0,,,WNW,35.0,WNW,11.0,28.0,1009.3,,28.4,No,No
2011-01-04,2,13.9,29.2,0.0,,,SSE,24.0,SE,11.0,38.0,1007.8,,27.9,No,No
2011-01-08,2,17.8,32.0,0.0,,,ENE,31.0,E,11.0,40.0,1009.1,,31.1,No,No
2011-01-09,2,20.1,33.0,0.0,,,ENE,61.0,SSE,22.0,41.0,1010.6,,32.5,No,Yes
2011-01-18,2,12.9,27.2,0.0,,,W,28.0,S,9.0,43.0,1005.9,,25.5,No,No
2011-01-31,2,19.9,38.2,0.0,,,S,24.0,S,17.0,25.0,1011.4,,37.3,No,No
2011-02-02,2,21.9,33.7,0.0,,,NNE,41.0,N,20.0,49.0,1011.1,,32.0,No,Yes
2011-02-04,2,22.5,28.2,2.6,,,WNW,81.0,SE,9.0,99.0,1011.1,8.0,23.4,Yes,Yes
2011-02-14,2,14.5,29.2,0.0,,,ENE,20.0,E,9.0,45.0,1019.9,,27.6,No,No
2011-02-16,2,18.9,22.0,0.2,,,ENE,31.0,NE,13.0,85.0,1016.1,,20.6,No,Yes
2011-03-04,2,8.6,22.1,0.0,,,W,33.0,W,20.0,42.0,1013.6,,21.0,No,No
2011-03-12,2,17.2,28.2,0.6,,,ENE,37.0,NNE,19.0,56.0,1017.1,8.0,27.0,No,No
2011-03-21,2,18.2,25.9,0.0,,,E,30.0,NE,15.0,59.0,1002.5,,24.9,No,No
2011-03-25,2,13.3,22.1,0.0,,,WNW,43.0,WSW,17.0,49.0,1012.6,8.0,20.9,No,No
2011-05-17,2,0.5,15.8,0.0,,,E,15.0,ESE,4.0,54.0,1028.1,,14.7,No,No
2011-06-02,2,2.9,17.6,0.0,,,N,15.0,SSE,9.0,58.0,1023.4,,17.3,No,No
2011-06-12,2,1.0,16.1,0.2,,,SE,28.0,SSE,17.0,49.0,1026.0,,16.0,No,No
2011-06-13,2,-0.3,15.9,0.0,,,SSE,20.0,ESE,11.0,41.0,1024.5,,15.7,No,No
2011-06-14,2,1.7,16.7,0.0,,,SSE,35.0,SSE,19.0,45.0,1023.7,,16.5,No,No
2011-06-15,2,0.5,16.9,0.0,,,S,15.0,S,7.0,48.0,1024.7,,16.8,No,No
2011-06-28,2,-0.2,15.2,0.0,,,SSE,15.0,ESE,7.0,52.0,1032.6,,15.2,No,No
2011-07-07,2,6.8,11.2,4.4,,,WNW,52.0,W,24.0,54.0,1018.3,1.0,10.6,Yes,No
2011-08-01,2,3.4,19.0,0.0,,,NE,20.0,NNE,11.0,55.0,1018.5,,18.9,No,No
2011-08-19,2,6.9,19.3,0.8,,,SE,28.0,SE,19.0,49.0,1020.7,,19.1,No,No
2011-08-25,2,2.5,20.7,0.0,,,N,31.0,N,19.0,48.0,1020.6,,20.2,No,No
2011-09-08,2,0.4,15.9,0.0,,,WNW,22.0,NW,11.0,38.0,1018.6,,15.7,No,No
2011-09-17,2,3.7,21.7,0.0,,,NE,26.0,NE,20.0,52.0,1011.8,,21.5,No,No
2011-09-18,2,5.5,23.9,0.0,,,NNW,19.0,WSW,11.0,36.0,1015.2,,23.2,No,No
2011-09-20,2,10.1,13.6,1.0,,,W,61.0,W,22.0,70.0,1011.2,,12.9,No,Yes
2011-09-25,2,8.6,19.8,1.0,,,SSE,43.0,E,9.0,36.0,1020.5,,18.9,No,No
2011-10-22,2,13.3,25.9,0.0,,,ENE,22.0,S,11.0,48.0,1020.8,,25.3,No,No
2011-11-17,2,12.8,27.5,0.2,,,S,20.0,SSE,11.0,52.0,1015.4,,26.3,No,No
2011-11-25,2,15.0,20.0,11.0,,,,,,,,,,,Yes,Yes
2011-11-26,2,15.0,25.0,44.0,,,,,,,,,,,Yes,Yes
2011-11-28,2,12.0,31.5,0.0,,,NNE,35.0,NW,11.0,29.0,1013.3,,29.6,No,No
2011-12-07,2,12.6,26.6,0.0,,,W,28.0,SSW,13.0,38.0,1010.4,,25.2,No,No
2011-12-22,2,16.4,29.6,0.6,,,ESE,30.0,SE,9.0,42.0,1012.3,,28.0,No,No
2011-12-28,2,15.2,29.4,0.0,,,WNW,26.0,WSW,13.0,40.0,1010.2,,26.6,No,No
2012-01-03,2,19.7,38.9,0.0,,,NW,43.0,W,15.0,21.0,1011.8,,38.8,No,No
2012-01-10,2,10.8,24.8,0.0,,,NW,50.0,W,30.0,30.0,1008.7,1.0,23.5,No,No
2012-01-13,2,9.9,28.3,0.0,,,WNW,31.0,WSW,19.0,31.0,1013.3,,26.5,No,No
2012-01-18,2,16.1,30.7,0.0,,,SW,31.0,ESE,15.0,55.0,1014.7,7.0,25.0,No,No
2012-01-30,2,20.8,29.1,26.8,,,WNW,48.0,NNW,28.0,69.0,995.4,8.0,27.0,Yes,Yes
2012-02-01,2,14.9,28.5,0.0,,,SE,35.0,S,11.0,38.0,1010.3,,26.7,No,No
2012-02-08,2,12.0,28.9,0.0,,,NNW,28.0,N,15.0,25.0,1009.3,,26.6,No,No
2012-02-10,2,13.8,27.4,3.6,,,W,43.0,WNW,30.0,43.0,1008.1,8.0,22.9,Yes,No
2012-02-15,2,15.0,31.9,0.0,,,ENE,28.0,N,6.0,31.0,1015.6,8.0,30.9,No,No
2012-02-16,2,16.9,28.3,0.4,,,SE,30.0,SSE,13.0,63.0,1017.2,8.0,23.6,No,No
2012-02-18,2,15.9,31.2,0.0,,,ESE,28.0,S,6.0,40.0,1013.9,,29.6,No,No
2012-02-21,2,13.5,28.9,1.4,,,S,31.0,NNW,7.0,36.0,1010.6,8.0,27.7,Yes,No
2012-03-01,2,17.1,20.9,104.2,,,SE,57.0,SE,20.0,88.0,1001.9,8.0,18.5,Yes,Yes
2012-03-06,2,12.4,26.2,0.0,,,SE,43.0,ESE,9.0,50.0,1017.3,4.0,24.8,No,No
2012-03-10,2,10.8,25.9,0.0,,,W,28.0,WNW,13.0,39.0,1013.9,,24.8,No,No
2012-03-12,2,13.1,27.8,0.0,,,NW,24.0,WNW,11.0,46.0,1016.9,8.0,26.0,No,No
2012-03-24,2,8.9,19.7,0.4,,,WSW,37.0,W,22.0,54.0,1015.4,5.0,17.5,No,No
2012-03-29,2,9.4,25.4,1.4,,,ESE,20.0,ESE,7.0,43.0,1017.4,,24.3,Yes,No
2012-04-05,2,12.7,28.5,0.0,,,ESE,19.0,SSW,7.0,51.0,1016.4,,27.8,No,No
2012-04-10,2,1.0,17.5,0.0,,,WSW,22.0,WNW,9.0,37.0,1028.9,2.0,16.9,No,No
2012-04-11,2,3.0,20.1,0.0,,,SSW,20.0,ENE,6.0,34.0,1031.0,,19.0,No,No
2012-04-18,2,13.7,26.2,0.0,,,ESE,30.0,SSE,15.0,48.0,1018.3,,26.0,No,No
2012-04-22,2,14.0,23.0,1.4,,,NE,43.0,NNE,20.0,57.0,1008.7,8.0,21.8,Yes,Yes
2012-04-30,2,4.4,19.9,0.0,,,ENE,30.0,NE,11.0,50.0,1022.8,1.0,19.4,No,No
2012-05-05,2,3.2,15.5,0.0,,,WNW,28.0,W,11.0,65.0,1017.1,,14.7,No,No
2012-05-17,2,2.3,16.7,0.0,,,ESE,13.0,ESE,7.0,51.0,1022.7,,15.5,No,No
2012-05-23,2,4.2,19.9,0.0,,,NNE,33.0,NNE,20.0,38.0,1017.4,,19.4,No,No
2012-06-01,2,3.5,16.3,0.0,,,ESE,11.0,E,2.0,56.0,1025.9,,15.8,No,No
2012-06-03,2,5.7,13.7,3.6,,,SSE,31.0,SSE,9.0,72.0,1012.6,8.0,13.4,Yes,No
2012-06-07,2,0.1,14.3,0.0,,,SSW,17.0,S,4.0,52.0,1024.0,,13.4,No,No
2012-06-08,2,-0.8,13.9,0.2,,,WSW,13.0,NNW,4.0,54.0,1025.5,,13.3,No,No
2012-06-20,2,-1.3,11.7,0.0,,,NE,20.0,NE,13.0,64.0,1018.8,7.0,11.4,No,No
2012-07-09,2,0.2,15.1,0.0,,,E,24.0,SE,9.0,60.0,1024.2,1.0,14.3,No,Yes
2012-07-15,2,6.4,11.3,9.4,,,NW,33.0,WNW,17.0,64.0,1021.6,8.0,10.2,Yes,Yes
2012-07-16,2,7.2,12.4,2.8,,,N,22.0,N,15.0,89.0,1027.2,8.0,12.0,Yes,No
2012-07-17,2,8.7,15.4,0.4,,,NNW,19.0,NNW,9.0,66.0,1022.8,8.0,14.2,No,No
2012-07-20,2,2.3,15.3,0.0,,,W,31.0,WSW,17.0,67.0,1027.3,8.0,13.7,No,No
2012-07-28,2,4.1,13.2,4.0,,,W,28.0,WNW,15.0,71.0,1020.1,8.0,12.4,Yes,Yes
2012-07-29,2,1.1,13.7,1.8,,,W,33.0,WSW,20.0,55.0,1024.6,6.0,13.4,Yes,No
2012-07-31,2,-1.3,13.9,0.0,,,SSE,20.0,ENE,9.0,47.0,1025.5,,12.4,No,No
2012-08-11,2,-0.7,16.6,0.0,,,SE,24.0,ESE,9.0,47.0,1024.9,,15.2,No,No
2012-08-21,2,2.1,16.4,0.0,,,N,33.0,NE,19.0,45.0,1015.3,1.0,15.6,No,No
2012-08-22,2,6.2,19.4,0.0,,,ENE,35.0,ENE,19.0,50.0,1005.7,,18.5,No,No
2012-08-24,2,5.3,11.4,9.4,,,WNW,46.0,NW,20.0,70.0,1012.9,8.0,11.1,Yes,Yes
2012-09-02,2,0.0,16.2,0.0,,,WSW,24.0,WSW,19.0,45.0,1022.5,,15.2,No,No
2012-09-08,2,7.5,15.2,3.4,,,WNW,46.0,WNW,24.0,63.0,1017.4,8.0,14.0,Yes,No
2012-09-20,2,10.4,22.1,0.4,,,W,39.0,E,26.0,50.0,1010.6,6.0,21.4,No,No
2012-10-03,2,5.2,24.8,0.0,,,SSW,28.0,WNW,11.0,36.0,1022.7,,24.0,No,No
2012-10-11,2,7.4,11.6,0.8,,,SSE,28.0,S,13.0,85.0,1008.0,8.0,10.2,No,Yes
2012-10-18,2,5.5,22.6,0.0,,,WNW,26.0,N,7.0,43.0,1018.0,,21.8,No,No
2012-10-22,2,5.8,19.0,0.0,,,WSW,35.0,ESE,15.0,34.0,1021.8,,18.0,No,No
2012-10-27,2,6.3,20.4,0.0,,,WSW,46.0,NNW,15.0,38.0,1017.8,,18.4,No,No
2012-10-29,2,9.0,27.0,0.0,,,ENE,28.0,SSE,7.0,31.0,1017.9,2.0,25.8,No,No
2012-10-31,2,10.8,31.2,0.0,,,S,24.0,SSE,19.0,38.0,1012.2,,29.7,No,No
2012-11-02,2,6.4,22.4,0.0,,,WSW,28.0,ESE,7.0,43.0,1014.5,,21.1,No,No
2012-11-03,2,9.2,24.5,0.0,,,NNE,31.0,NNW,19.0,37.0,1015.7,7.0,23.5,No,No
2012-11-04,2,9.2,28.5,0.0,,,NE,31.0,NW,11.0,30.0,1014.5,,27.2,No,No
2012-11-20,2,8.3,26.9,0.0,,,E,24.0,ESE,15.0,34.0,1018.1,,26.0,No,No
2012-11-21,2,12.3,32.4,0.0,,,W,54.0,NW,28.0,24.0,1008.2,1.0,31.5,No,No
2012-11-30,2,23.0,34.4,0.0,,,NW,43.0,WSW,13.0,46.0,1011.0,5.0,31.1,No,No
2013-01-08,2,21.9,39.2,0.0,,,WNW,78.0,WSW,22.0,16.0,997.2,,34.9,No,No
2013-01-09,2,13.3,25.1,0.0,,,WSW,52.0,NW,22.0,27.0,1002.1,,23.9,No,No
2013-01-24,2,15.9,37.0,0.0,,,NNW,46.0,NE,15.0,23.0,1010.4,,35.0,No,No
2013-01-31,2,11.5,33.9,0.0,,,WNW,48.0,N,24.0,13.0,1006.1,,32.6,No,No
2013-03-08,2,17.9,34.9,0.0,,,ESE,37.0,ENE,13.0,24.0,1016.1,,33.9,No,No
2013-03-18,2,7.1,24.1,0.0,,,SSE,33.0,ESE,15.0,28.0,1019.6,,22.7,No,No
2013-03-19,2,9.1,26.3,0.0,,,E,26.0,SSE,9.0,25.0,1020.9,,24.6,No,No
2013-03-25,2,10.3,27.7,0.0,,,NW,31.0,W,13.0,34.0,1016.9,,27.3,No,No
2013-04-05,2,10.3,25.3,0.0,,,SE,19.0,S,9.0,42.0,1026.8,,24.3,No,No
2013-04-07,2,10.0,26.7,0.0,,,S,43.0,W,11.0,37.0,1021.1,,25.8,No,No
2013-04-15,2,14.5,23.6,0.8,,,W,30.0,W,19.0,47.0,1009.0,,22.8,No,No
2013-04-17,2,8.9,22.2,0.0,,,SW,17.0,SE,7.0,49.0,1013.8,,21.1,No,No
2013-04-20,2,2.6,20.3,0.0,,,SE,35.0,SE,17.0,38.0,1016.7,,19.6,No,No
2013-04-23,2,10.9,20.0,1.6,,,WSW,30.0,WSW,20.0,47.0,1014.2,,18.2,Yes,No
2013-04-28,2,7.9,26.5,0.0,,,WNW,28.0,W,17.0,28.0,1015.2,7.0,24.9,No,No
2013-04-30,2,8.6,20.4,2.6,,,WSW,19.0,SW,9.0,62.0,1021.9,3.0,19.3,Yes,No
2013-05-04,2,6.6,19.7,0.4,,,W,28.0,W,19.0,38.0,1020.4,,19.0,No,No
2013-05-06,2,2.5,18.6,0.0,,,SE,22.0,SE,13.0,37.0,1023.2,,17.9,No,No
2013-05-14,2,1.9,11.6,4.6,,,N,22.0,NNW,15.0,82.0,1013.7,8.0,11.2,Yes,Yes
2013-05-27,2,1.1,16.6,0.0,,,SE,17.0,SE,9.0,53.0,1028.2,,15.7,No,No
2013-06-08,2,1.7,14.6,1.0,,,SE,13.0,NE,9.0,65.0,1029.3,,13.4,No,No
2013-06-10,2,3.1,13.8,0.0,,,NNW,13.0,ESE,7.0,80.0,1019.6,8.0,13.2,No,No
2013-06-18,2,3.1,15.5,0.6,,,SSW,15.0,WSW,11.0,63.0,1016.0,6.0,14.5,No,No
2013-06-23,2,-0.4,14.1,0.0,,,SE,19.0,SSE,7.0,51.0,1027.8,,13.9,No,No
2013-06-28,2,2.0,16.0,0.0,,,N,13.0,SE,6.0,59.0,1022.4,,15.5,No,No
2013-07-03,2,3.1,14.8,0.0,,,E,15.0,E,11.0,69.0,1022.2,5.0,13.6,No,No
2013-07-22,2,4.4,11.7,0.0,,,N,31.0,NNW,9.0,73.0,1017.5,8.0,10.2,No,No
2013-07-23,2,3.4,12.4,0.6,,,WNW,30.0,WNW,17.0,73.0,1023.8,1.0,12.2,No,No
2013-08-07,2,3.4,11.5,0.4,,,NE,28.0,N,11.0,89.0,1010.7,8.0,10.2,No,Yes
2013-08-09,2,2.6,11.2,0.0,,,NNW,20.0,N,11.0,85.0,1016.6,8.0,10.4,No,Yes
2013-08-10,2,5.7,16.6,2.8,,,WNW,22.0,WSW,13.0,62.0,1016.7,,16.0,Yes,No
2013-08-19,2,6.6,11.3,6.0,,,SW,52.0,WNW,20.0,72.0,1011.1,,8.3,Yes,Yes
2013-09-01,2,5.3,22.2,0.0,,,ENE,17.0,S,9.0,53.0,1025.8,,20.7,No,No
2013-09-11,2,6.2,16.0,0.4,,,WNW,35.0,WNW,26.0,64.0,1012.0,7.0,14.5,No,No
2013-09-20,2,7.3,14.9,2.0,,,W,43.0,W,19.0,72.0,1010.7,6.0,13.6,Yes,No
2013-09-23,2,6.1,23.9,0.2,,,NE,31.0,ENE,17.0,47.0,1006.0,,23.0,No,No
2013-10-05,2,5.5,21.7,0.0,,,NNW,28.0,NNE,13.0,50.0,1013.2,,19.9,No,No
2013-10-07,2,4.9,20.1,0.0,,,NW,31.0,WNW,13.0,51.0,1011.0,1.0,18.2,No,No
2013-10-11,2,,18.5,,,,W,37.0,WNW,17.0,52.0,1015.8,1.0,17.8,,No
2013-10-16,2,3.8,25.5,0.0,,,N,50.0,NNW,35.0,21.0,1009.8,,24.4,No,No
2013-11-05,2,6.3,25.6,0.0,,,SE,33.0,SW,9.0,18.0,1023.3,,23.4,No,No
2013-11-07,2,8.9,34.3,0.0,,,SSE,22.0,WNW,4.0,22.0,1009.4,2.0,33.2,No,No
2013-11-08,2,17.7,30.9,0.0,,,W,48.0,N,30.0,23.0,1002.9,,30.0,No,No
2013-11-12,2,12.1,18.6,4.4,,,W,46.0,W,26.0,65.0,1011.4,8.0,17.1,Yes,No
2013-11-17,2,9.1,27.2,0.0,,,ESE,24.0,SSE,13.0,35.0,1013.9,1.0,23.6,No,No
